logA,logB,ccheu,ccind,ccdcr,ccfreq,ccdur,cctime
Example/logNormal.xes,Example/logAbsence.xes,0.751,0.751,0,0.75,0.667269371,0.903322071
Example/logNormal.xes,Example/logDelay.xes,1,1,1,1,0.69524687,0.475214156
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
./Example/logNormal.xes,./Example/logAbsence.xes,0.751,0.751,0,,,
./Example/logNormal.xes,./Example/logAbsence.xes,0.751,0.751,0,,,
repetitiveness_0-1.xes,repetitiveness_0-2.xes,1,1,0,,,
repetitiveness_0_10.xes,repetitiveness_01_10.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,0,0,0,,,
normal_20_1.xes,normal_20_2.xes,0.95,1,,,,
normal_2_1.xes,normal_2_2.xes,0.5,0,,,,
normal_20_1.xes,normal_20_2.xes,0.75,0.75,0,,,
normal_100_1.xes,normal_100_2.xes,0.77,0.77,0,,,
normal_1000_1.xes,normal_1000_2.xes,0.791,0.791,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_1000_1.xes,normal_1000_2.xes,0.946,1,1,,,
normal_1000_00_1.xes,normal_1000_00_2.xes,0.977,1,1,,,
normal_1000_00_1.xes,normal_1000_05_2.xes,1,1,1,,,
normal_100_00_1.xes,normal_100_00_2.xes,0.9,1,1,,,
normal_100_00_1.xes,repetitiveness_100_10_1.xes,0.9,1,1,,,
normal_100_00_1.xes,repetitiveness_100_10_1.xes,0.9,1,1,,,
repetitiveness_100_10_1.xes,normal_100_00_1.xes,0.65,0.65,0,,,
normal_100_00_1.xes,repetitiveness_100_05_1.xes,0.91,1,1,,,
repetitiveness_100_05_1.xes,normal_100_00_1.xes,0.79,0.87,0,,,
repetitiveness_100_00.xes,normal_100_00.xes,0.9,1,1,,,
repetitiveness_100_01.xes,normal_100_00.xes,0.83,0.99,0,,,
repetitiveness_100_02.xes,normal_100_00.xes,0.69,0.89,0,,,
repetitiveness_100_03.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_04.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_05.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_06.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_07.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_08.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_09.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_10.xes,normal_100_00.xes,0.68,0.68,0,,,
normal_100_00.xes,repetitiveness_100_00.xes,0.97,1,1,,,
normal_100_00.xes,repetitiveness_100_01.xes,0.98,1,1,,,
normal_100_00.xes,repetitiveness_100_02.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_03.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_04.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_05.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_06.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_07.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_08.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_00.xes,0.97,1,1,,,
normal_100_00.xes,repetitiveness_100_01.xes,0.91,0.93,0,,,
normal_100_00.xes,repetitiveness_100_02.xes,0.85,0.87,0,,,
normal_100_00.xes,repetitiveness_100_03.xes,0.78,0.83,0,,,
normal_100_00.xes,repetitiveness_100_04.xes,0.74,0.79,0,,,
normal_100_00.xes,repetitiveness_100_05.xes,0.68,0.75,0,,,
normal_100_00.xes,repetitiveness_100_06.xes,0.57,0.65,0,,,
normal_100_00.xes,repetitiveness_100_07.xes,0.52,0.61,0,,,
normal_100_00.xes,repetitiveness_100_08.xes,0.45,0.54,0,,,
normal_100_00.xes,repetitiveness_100_00.xes,0.97,1,1,0.855022982,N/A,N/A
normal_100_00.xes,repetitiveness_100_01.xes,0.91,0.93,0,0.793539341,N/A,N/A
normal_100_00.xes,repetitiveness_100_02.xes,0.85,0.88,0,0.742512832,N/A,N/A
normal_100_00.xes,repetitiveness_100_03.xes,0.78,0.83,0,0.689816318,N/A,N/A
normal_100_00.xes,repetitiveness_100_04.xes,0.74,0.79,0,0.647882786,N/A,N/A
normal_100_00.xes,repetitiveness_100_05.xes,0.68,0.71,0,0.5808474,N/A,N/A
wandering_100_00.xes,wandering_100_00.xes,1,1,0,0.6945293,N/A,N/A
wandering_100_00.xes,wandering_100_00.xes,1,0.754240517,,,,
wandering_100_00_2.xes,wandering_100_00_2.xes,1,0.740644079,,,,
wandering_100_00_2.xes,wandering_100_00_2.xes,N/A,N/A,1,0.740644079,N/A,N/A
wandering_100_00_2.xes,wandering_100_00_2.xes,N/A,N/A,1,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_01_2.xes,N/A,N/A,0,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_02_2.xes,N/A,N/A,0,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_00_2.xes,N/A,1,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_00.xes,N/A,1,N/A,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_00_2.xes,N/A,1,N/A,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_01_2.xes,N/A,0.97005333,N/A,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_02_2.xes,N/A,0.950473116,N/A,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_03_2.xes,N/A,0.938437068,N/A,N/A,N/A,N/A
wandering_100_00_2.xes,wandering_100_04_2.xes,N/A,0.943472074,N/A,N/A,N/A,N/A
Wandering token replay with log_fitness,,,,,,,
wandering_100_00.xes,wandering_100_00.xes,0.871469556,1,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_01.xes,0.856517355,0.970595346,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_02.xes,0.852422612,0.956818868,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_03.xes,0.837025775,0.950825191,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_04.xes,0.839870321,0.951294138,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_05.xes,0.836360516,0.950980312,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_06.xes,0.836358942,0.95031145,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_07.xes,0.836594957,0.949176388,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_08.xes,0.839662406,0.95036212,N/A,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_09.xes,0.835644904,0.949658524,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_00.xes,0.987057662,1,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_01.xes,0.91046113,0.933230376,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_02.xes,0.85564919,0.8886808,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_03.xes,0.78916928,0.812159037,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_04.xes,0.764161249,0.796797455,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_05.xes,0.737020677,0.748395435,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_06.xes,0.688019703,0.725216375,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_07.xes,0.727268603,0.725321398,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_08.xes,0.659411394,0.674707637,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_09.xes,0.648356673,0.669527433,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_010.xes,0.632148817,0.651787057,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_01.xes,0.91,0.93,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_02.xes,0.85,0.88,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_03.xes,0.78,0.83,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_04.xes,0.74,0.79,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_05.xes,0.68,0.71,N/A,N/A,N/A,N/A
repetitiveness_100_00.xes,repetitiveness_100_06.xes,0.57,0.61,N/A,N/A,N/A,N/A
Wandering token replay with average_trace_fitness,,,,,,,
wandering_100_00.xes,wandering_100_00.xes,0.871469556,1,1,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_01.xes,0.856517355,0.970674079,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_02.xes,0.852422612,0.957004921,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_03.xes,0.837025775,0.950839497,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_04.xes,0.839898895,0.951294138,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_05.xes,0.836360516,0.95107009,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_06.xes,0.836700239,0.950346593,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_07.xes,0.836594957,0.94933606,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_08.xes,0.839662406,0.950439393,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_09.xes,0.835644904,0.949658524,0,N/A,N/A,N/A
wandering_100_00.xes,wandering_100_010.xes,0.837188223,0.950333108,0,N/A,N/A,N/A
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_0.xes,0.963709677,1,1,0.824371127,1,1
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_1.xes,0.910550592,0.956482134,0,0.786200209,1,0.647058824
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_2.xes,0.875089443,0.919807104,0,0.752140718,1,0.578947368
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_3.xes,0.815053885,0.850362835,0,0.700193373,1,0.328358209
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_4.xes,0.778728468,0.821537699,0,0.655358859,1,0.4
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_5.xes,0.763340317,0.789279363,0,0.591265982,1,0.252873563
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_6.xes,0.718592125,0.735007923,0,0.543967191,1,0.165413534
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_7.xes,0.660530089,0.679320459,0,0.449699345,1,0.08627451
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_8.xes,0.619079288,0.63849291,0,0.397892214,1,0.069400631
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_9.xes,0.562418784,0.578944436,0,0.297383814,1,0.046952037
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_10.xes,0.604588432,0.605667589,0,0.227987627,1,0.036854762
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_0.xes,0.96,1,1,0.824371127,1,1
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_1.xes,0.91,0.96,0,0.786200209,1,0.647058824
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_2.xes,0.88,0.92,0,0.752140718,1,0.578947368
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_3.xes,0.81,0.87,0,0.700193373,1,0.328358209
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_4.xes,0.77,0.83,0,0.655358859,1,0.4
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_5.xes,0.71,0.77,0,0.591265982,1,0.252873563
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_6.xes,0.66,0.72,0,0.543967191,1,0.165413534
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_7.xes,0.58,0.61,0,0.449699345,1,0.08627451
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_8.xes,0.5,0.56,0,0.397892214,1,0.069400631
repetitiveness_dur_100_0.xes,repetitiveness_dur_100_9.xes,0.41,0.46,0,0.297383814,1,0.046952037
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_0.xes,0.95,1,1,0.856155652,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_1.xes,0.91,0.96,0,0.809596633,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_2.xes,0.89,0.94,0,0.772340911,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_3.xes,0.86,0.9,0,0.736328959,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_4.xes,0.84,0.89,0,0.701158822,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_5.xes,0.82,0.86,0,0.676697785,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_6.xes,0.79,0.84,0,0.626133889,1,1
repetitiveness_2_loc_100_0.xes,repetitiveness_2_loc_100_7.xes,0.77,0.81,0,0.58484643,1,1
repetitiveness_2_10_0.xes,repetitiveness_2_10_1.xes,0.8,0.9,0,0.803457727,N/A,1
repetitiveness_2_10_0.xes,repetitiveness_2_10_2.xes,0.8,0.8,0,0.751177091,N/A,1
repetitiveness_2_10_0.xes,repetitiveness_2_10_3.xes,0.8,0.8,0,0.718143045,N/A,1
repetitiveness_2_10_0.xes,repetitiveness_2_10_1.xes,0.8,0.9,0,0.803457727,N/A,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1,1,0.855262464,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0,0.801235382,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.92,0,0.763538155,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.89,0,0.712592245,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.87,0,0.675676423,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,0.81,0.85,0,0.636834882,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1,1,0.855262464,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0,0.801235382,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.92,0,0.763538155,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.89,0,0.712592245,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.87,0,0.675676423,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1,1,0.855262464,1,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0,0.801235382,1,1
Example/logNormal.xes,Example/logAbsence.xes,0.751,0.751,0,0.75,0.667269371,0.903322071
repetitiveness_2_100_0.xes,repetitiveness_2_100_0.xes,0.93,1,1,0.855262464,0.781492098,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_1.xes,0.89,0.95,0,0.801235382,0.739911005,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_2.xes,0.87,0.91,0,0.763538155,0.716771249,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_3.xes,0.85,0.88,0,0.712592245,0.696382914,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_4.xes,0.83,0.86,0,0.675676423,0.666107487,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_5.xes,0.81,0.83,0,0.636834882,0.638817982,1
repetitiveness_2_100_0.xes,repetitiveness_2_100_6.xes,0.79,0.8,0,0.585295982,0.601928694,1
