logA,logB,ccheu,ccind,ccdcr,ccfreq,ccdur,cctime
Example/logNormal.xes,Example/logAbsence.xes,0.751,0.751,0,0.75,0.6672693708333334,0.9033220712512192
Example/logNormal.xes,Example/logDelay.xes,1,1,1,1,0.69524687,0.4752141560267374
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
normal.xes,repetitive.xes,1,1,0,,,
./Example/logNormal.xes,./Example/logAbsence.xes,0.751,0.751,0,,,
./Example/logNormal.xes,./Example/logAbsence.xes,0.751,0.751,0,,,
repetitiveness_0-1.xes,repetitiveness_0-2.xes,1,1,0,,,
repetitiveness_0_10.xes,repetitiveness_01_10.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,1,1,0,,,
repetitiveness_0_1.xes,repetitiveness_0_2.xes,0,0,0,,,
normal_20_1.xes,normal_20_2.xes,0.95,1,,,,
normal_2_1.xes,normal_2_2.xes,0.5,0,,,,
normal_20_1.xes,normal_20_2.xes,0.75,0.75,0,,,
normal_100_1.xes,normal_100_2.xes,0.77,0.77,0,,,
normal_1000_1.xes,normal_1000_2.xes,0.791,0.791,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_10000_1.xes,normal_10000_2.xes,0.7826,0.7826,0,,,
normal_1000_1.xes,normal_1000_2.xes,0.946,1,1,,,
normal_1000_00_1.xes,normal_1000_00_2.xes,0.977,1,1,,,
normal_1000_00_1.xes,normal_1000_05_2.xes,1,1,1,,,
normal_100_00_1.xes,normal_100_00_2.xes,0.9,1,1,,,
normal_100_00_1.xes,repetitiveness_100_10_1.xes,0.9,1,1,,,
normal_100_00_1.xes,repetitiveness_100_10_1.xes,0.9,1,1,,,
repetitiveness_100_10_1.xes,normal_100_00_1.xes,0.65,0.65,0,,,
normal_100_00_1.xes,repetitiveness_100_05_1.xes,0.91,1,1,,,
repetitiveness_100_05_1.xes,normal_100_00_1.xes,0.79,0.87,0,,,
repetitiveness_100_00.xes,normal_100_00.xes,0.9,1,1,,,
repetitiveness_100_01.xes,normal_100_00.xes,0.83,0.99,0,,,
repetitiveness_100_02.xes,normal_100_00.xes,0.69,0.89,0,,,
repetitiveness_100_03.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_04.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_05.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_06.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_07.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_08.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_09.xes,normal_100_00.xes,0.68,0.68,0,,,
repetitiveness_100_10.xes,normal_100_00.xes,0.68,0.68,0,,,
normal_100_00.xes,repetitiveness_100_00.xes,0.97,1,1,,,
normal_100_00.xes,repetitiveness_100_01.xes,0.98,1,1,,,
normal_100_00.xes,repetitiveness_100_02.xes,0.93,1,1,,,
normal_100_00.xes,repetitiveness_100_03.xes,0.93,1,1,,,
